OID_,Length,TWI,TWI_5,TWI_10,TWI_15,Slope,Slope_5,Slope_10,Slope_15,Irrigation_Density_100,Irrigation_Density_200,Irrigation_Density_300,Irrigation_Density_400,Value,NEAR_FID,NEAR_DIST
20,4.47618146188714,6.8494735,5.8432794,6.2251153,6.1917200,2.6479099,3.5047433,3.9717231,3.7445242,11.1897087,5.4266272,3.1265268,2.1576226,4.4761815,1,72.067513258422139
21,2.24121549502694,6.0508819,5.9590130,5.7592387,5.8598452,1.2385470,2.5149460,4.6616693,4.8730230,2.8969409,3.3407776,2.3175411,1.7324855,2.2412155,1,52.282696173189841
22,3.51726861332074,5.2693143,5.6454406,5.8812013,5.9792490,9.6721096,5.9828167,5.3174934,4.2723670,0.0000000,0.0152495,0.6385149,2.1513834,3.5172687,1,18.061002167996261
23,3.12893663962792,5.5710521,5.7596893,5.7659450,5.8046865,2.4575100,4.0225620,3.9517462,4.6340704,0.0000000,0.7156714,1.5907496,1.5891570,3.1289365,1,53.729837801315895
24,3.30775569207485,5.2183757,5.8298531,6.0094438,6.0874453,4.8133507,3.4266741,3.8248012,4.2736216,0.0000000,0.0000000,1.3416193,2.4590096,3.3077557,1,44.499048211706899
25,2.56478822943484,5.6105962,7.0996709,7.3032990,7.3643861,3.9783123,4.0082254,3.9154022,3.5723054,0.0000000,2.5762460,2.4359663,2.8776827,2.5647883,1,294.238752073226465
26,2.61470983713155,6.2490449,6.3248510,6.1787181,6.2061605,3.5219851,2.9689016,3.3828123,4.0141654,0.0000000,0.0000000,2.2384875,2.3834243,2.6147099,1,32.798957673005475
27,3.63850078502167,7.8415265,7.8632336,7.9374447,7.8527131,0.2366407,0.5463369,0.4879981,0.6245611,9.1348457,7.2509990,4.9303756,5.9186277,3.6385007,1,1128.605667918178824
28,5.97438018893506,5.1394987,5.3319197,5.6661329,5.5731487,9.3425331,7.5993018,6.0396924,6.3333511,0.0000000,0.0000000,2.1372402,2.5964875,5.9743800,1,443.604113404533905
29,2.73368522452796,6.3219662,5.8256392,5.7656217,5.7193713,6.8322105,7.6364198,5.5814667,5.4671683,2.5302420,5.0494957,3.4477396,2.4374435,2.7336853,1,175.358264940489192
30,3.53126567202808,5.5823779,6.2985797,6.2240543,6.2112751,2.6824379,2.8230648,3.2722080,4.0309787,0.0000000,0.0000000,1.6431855,2.4209211,3.5312657,1,20.606793033231451
31,3.31675833605336,5.4426084,5.4778996,5.9080338,6.0942907,2.5673923,4.9443789,4.3647962,4.2393727,0.0000000,0.0000000,1.1989734,2.5211134,3.3167584,1,51.708205022322709
32,3.99701341791477,5.8988919,6.0718422,5.8494058,5.8904529,1.4530244,4.3783307,4.8116093,4.4424248,0.0000000,0.2234496,0.9540570,2.0736470,3.9970133,1,24.164676431447798
33,3.83548439731377,4.9585218,5.7258930,5.8389664,5.7927475,3.5368104,3.5962715,4.5178156,4.7965183,0.0000000,0.7818956,1.4885623,1.4225988,3.8354845,1,19.291987285308569
34,4.55581942604726,4.5367861,5.6729388,5.8664255,5.8101664,7.4790268,5.7580352,4.8846893,4.9081388,0.0000000,1.6789212,1.7673357,1.4645119,4.5558195,1,15.068090473580039
35,3.32258275973015,5.0646682,5.4188485,6.3077736,6.3898339,3.0732002,4.2671857,2.9283853,2.9692941,2.4661803,4.7798009,3.6226156,2.8286858,3.3225827,1,920.069994792009197
36,4.95051420599151,4.5826840,5.9088645,6.4041357,6.4337296,6.6263833,5.0345788,4.7523384,4.9713583,9.4358721,6.7911248,4.3724074,4.1870770,4.9505143,1,394.036744183518977
37,3.70078098702614,7.3973641,7.4909062,7.1878767,6.9942036,2.0572097,2.0673776,2.4194705,3.0029142,6.2939301,4.1706295,5.1907530,4.8637118,3.7007809,1,112.454560909625982
38,4.06892598743502,4.0678639,4.8861895,5.2759318,5.4857283,15.0488615,9.9784708,8.4728317,7.4137259,7.1896753,5.6141672,4.7374086,3.8139174,4.0689259,1,911.521372169395249
39,4.84795174565711,5.7838397,5.3766065,5.7258186,6.0072184,6.7156138,6.0779705,5.4453831,4.9928970,6.2679558,6.0969076,5.0171509,4.2645144,4.8479519,1,886.101955563386355
40,3.72775878046547,5.8608751,6.2006316,5.5674124,5.6934094,3.6873472,3.8315051,6.0534868,5.7746472,5.8812547,5.8816986,4.8086243,4.1423969,3.7277589,1,921.213470214502763
41,4.21728059488301,6.9669795,6.0066605,5.9454870,6.0853829,2.4364357,3.6652246,4.7436657,4.7594533,10.4032345,5.9624324,5.0760450,4.0154133,4.2172804,1,847.074447649528793
42,4.3787492111761,5.3196988,5.7854376,5.7545681,5.7101398,5.0433307,4.7800078,5.2562599,5.6106143,0.0000000,1.9510659,2.8195944,3.0111952,4.3787494,1,387.741636254837147
43,3.01285027061708,6.3606348,7.3808260,7.0638366,7.0613475,1.1509395,0.9453151,1.8679768,2.3526783,0.0000000,1.6584935,1.8600416,2.6298397,3.0128503,1,696.192692489797992
44,4.44199903877706,5.3472257,5.6352377,5.5712819,5.7979627,6.7241731,5.9901681,5.3229613,5.3400507,0.7180451,0.9824208,3.1815324,3.0270989,4.4419990,1,355.415240774342863
45,3.93580831910436,5.5388470,5.8446159,5.9929633,6.4812865,2.1873496,4.0556664,4.3618188,4.1818213,1.2015657,2.8063922,3.0342219,3.0791140,3.9358084,1,307.334913966824104
46,3.91472936467184,5.9525361,5.7975979,5.7267237,6.0896001,2.9841542,4.2500954,4.5175557,4.5809994,2.0783768,1.3218087,3.3707211,3.0584381,3.9147294,1,314.065114277418616
47,4.8664359195672,5.4586091,6.0688267,5.6457162,5.9499474,4.0396657,3.6992140,4.8092623,4.8384757,1.6427853,1.5306022,3.2623715,3.0395589,4.8664360,1,328.404554932015969
48,4.52411911334054,4.5832772,5.2044992,6.0842481,6.2016664,5.4158483,5.1548843,4.2388082,4.2307491,2.8196290,1.5339537,3.4275880,3.0820544,4.5241189,1,292.983830646566560
49,6.60154297069638,8.8345432,8.2562723,7.8155890,7.4391766,2.3383322,2.3581331,2.9380755,3.3692217,2.1856530,4.0215855,3.3706477,3.5406339,6.6015429,1,244.306700620686655
50,6.91361520523865,9.6261501,7.6688290,7.2155581,7.2469826,3.2081068,3.7061336,3.5227504,3.3161218,4.8539462,3.5759926,3.4190018,3.5657430,6.9136152,1,296.698912322301851
51,5.48093628794526,7.9957833,7.3346062,7.4181294,7.4519196,3.6015842,3.6155908,3.4664609,3.4188323,4.6681890,3.6361465,2.6278045,2.9286740,5.4809361,1,152.199884349524268
52,4.88120861290736,6.1598988,7.4523482,7.3998661,7.1185412,1.9757537,3.6919444,3.6034913,3.6718631,6.0335603,2.4097321,3.4239414,2.8286591,4.8812084,1,179.328239287741070
53,5.87589741267902,4.9279776,7.2425551,7.3546772,7.0083480,3.5310466,3.6454268,3.5813720,3.7347484,5.8715057,2.3857431,3.3939145,2.8745995,5.8758974,1,193.776843063396313
54,3.73967080060766,7.4143848,7.3156185,6.9780760,7.3340173,3.0390828,3.2899547,3.3922279,3.3408153,5.5481386,2.6099784,2.9406860,2.6958287,3.7396708,1,97.521856847731755
55,4.34155442757882,4.7807221,5.5680447,5.8624015,5.8994908,9.0631580,6.7869530,5.6105652,5.3457108,3.9279130,5.3412590,5.0070667,5.6281853,4.3415546,1,546.406281844150953
56,3.97565178232814,5.9247584,6.1806898,6.3033566,5.9055486,4.9665856,5.5363665,4.8532944,5.0446577,4.2662892,7.0914130,5.2242575,4.4296651,3.9756517,1,989.530052434606091
57,3.61203049985569,6.3898482,5.5466380,5.9742179,5.9583745,4.4775229,5.0866408,4.3259168,4.4861135,2.1011620,3.0047638,2.9400644,2.9457679,3.6120305,1,299.002922993605523
58,4.00564965555851,5.3242621,5.6766357,5.6850572,5.7815108,5.8092809,4.2717471,4.5861011,4.8788147,0.5991605,3.2611492,2.6547425,2.8522689,4.0056496,1,328.119080438650769
59,4.34966456831127,4.7395806,5.4758511,5.9601002,5.8825994,5.7505465,4.6993213,4.3794456,4.4840174,0.9300926,3.5962493,2.7899809,2.7875128,4.3496647,1,297.414190136067873
60,4.74614312113328,8.2603722,6.0550265,5.6077685,5.7830405,2.8762424,4.0133801,4.6350541,4.6177101,2.4671054,3.5622327,2.7676690,2.5377185,4.7461433,1,340.579061954534495
61,3.33679825569939,6.1194415,6.4967780,6.4477816,6.5263219,3.5173638,3.5822542,3.9665358,4.0200677,4.6834340,3.3121529,2.6237679,2.3622191,3.3367982,1,83.945384765955581
62,4.45329645293176,6.2158723,5.8380184,5.9520445,6.0223017,3.7480440,3.3019497,3.8574402,3.8492675,5.8960209,3.5712304,2.9653206,2.0645773,4.4532967,1,312.678731970358911
63,4.50206209766623,7.3898602,6.6369143,6.9193201,6.6722665,2.8377044,3.2772832,3.6646514,3.7340784,6.5055628,2.9687667,2.6165392,1.8939313,4.5020623,1,155.023923053326570
64,2.7679623839021,5.1804347,6.3229938,6.6641002,6.6988730,2.8235953,3.4536467,3.6106541,3.5947671,2.6718059,3.0167253,2.3122535,2.5152767,2.7679625,1,322.982274471659480
65,3.24618575006725,5.3328090,6.5824242,6.3646574,6.5157075,6.4253783,3.6911104,3.8042862,3.9645135,2.3813927,2.9804499,2.2495553,2.4702380,3.2461858,1,347.522744833519653
66,2.65480924008143,5.6960950,6.6051307,6.5520768,6.7628140,3.0780182,3.7099032,3.8473272,3.6933424,0.0000000,2.5991173,2.4231534,2.8689253,2.6548092,1,322.893959740821003
67,3.62434664657751,6.7081017,7.0942006,6.8348188,6.6566582,3.3238046,3.3772066,3.3915224,3.5805435,0.0000000,1.2050263,3.3153701,3.0352247,3.6243467,1,217.738842167599756
68,3.81749678488622,5.2410002,5.5542545,6.5954218,6.7514920,4.8484163,4.4470682,3.6841235,3.5731649,0.0000000,2.1425343,3.4965696,3.0792608,3.8174968,1,196.781421833434933
69,1.98261320929922,5.6837597,6.6296310,6.8265285,6.8155499,3.3578787,3.1267483,3.1528583,3.3393114,0.1184912,2.0365145,2.3864830,2.5640907,1.9826132,1,118.693727988531762
70,3.62054969557299,5.4016008,6.5608716,6.8504748,6.7468834,3.0063727,2.8420734,3.0705004,3.2896531,0.2117683,1.9731184,2.1430004,2.4516015,3.6205497,1,89.683847590412242
71,2.07501740919412,4.3678741,5.5062547,6.3823280,6.3276095,8.6172609,5.5311584,4.0425019,4.1184840,5.5990057,2.2256868,1.6626723,1.8979189,2.0750175,1,63.031836189242632
72,3.18297227375493,7.4986305,6.5797458,6.6717992,6.3675785,2.2117777,3.1486948,3.4529154,3.6809373,6.0090971,3.1988966,2.6829097,2.4023101,3.1829722,1,330.061828037674559
73,3.11950369402377,6.9584889,6.8832130,6.8903208,6.7033210,2.4752398,3.1931217,3.4432559,3.5631452,3.9426501,3.0847573,2.3981249,2.5336225,3.1195037,1,310.783186517015451
74,3.53278353627203,5.5529699,5.8836370,6.4964557,6.5443540,5.5079966,4.2642803,3.9470613,3.9357288,0.0000000,1.7256982,2.5612853,3.1428001,3.5327835,1,328.049492352614038
75,4.6412624718245,5.9037766,6.7209702,6.5600824,6.3363810,2.0482955,2.2975042,3.8935006,4.1584134,0.0000000,0.9902760,3.3301609,3.3881619,4.6412625,1,332.883150514541114
76,3.7825518638933,11.0443830,6.9004064,6.5047722,6.2959642,2.9086268,2.9485023,3.9788752,4.1878619,0.0000000,0.7721457,3.2532172,3.3610280,3.7825518,1,335.037474363778642
77,3.32821694308648,5.0500593,5.0899239,5.7665043,5.6304803,6.1302304,6.2599840,5.1126223,5.2866573,0.0000000,0.4674886,3.2279696,3.3724916,3.3282170,1,407.525513660221861
78,4.09467919752873,7.3225374,7.0789475,6.8214297,6.6606207,2.8246715,3.0367360,3.5183001,3.6617379,0.0000000,1.2906797,3.3975987,3.3471005,4.0946794,1,299.104909596944594
79,3.52583879503105,6.7879529,6.6190248,6.6568022,6.7722812,3.8380740,3.8857532,3.5853024,3.5514050,0.0000000,1.6761962,3.4657865,3.2906566,3.5258389,1,264.208577830719491
80,3.77580891982494,8.2643890,6.6540151,6.3603415,6.0467868,2.9128597,2.5509112,3.3327525,4.1355052,8.9962616,6.7887988,5.5095868,4.3337851,3.7758088,1,308.874336693301473
81,4.06395108496627,9.1511602,6.1720438,5.6725535,5.8118830,1.8772298,4.1932693,5.5678053,5.3145189,9.8839827,6.2335424,4.6963382,5.0063267,4.0639510,1,391.544875776089214
82,2.32011267982606,6.5993299,6.2901587,6.0921426,6.2286706,2.6764591,3.6754658,3.9808640,4.0269065,0.8962783,3.0311842,2.8757422,3.2996984,2.3201127,1,133.843513272276141
83,2.91036124307859,5.9824839,6.0860038,6.5183778,6.5027156,1.4115092,3.0684841,2.9737027,3.2103662,3.8711545,3.0380952,3.3773601,3.1790357,2.9103613,1,60.157232770328683
84,3.81408828866096,6.6666951,6.1885252,6.2066121,6.3595476,3.8852999,3.2929332,3.5935771,3.4945879,3.0473514,3.8423960,4.4293222,3.5779111,3.8140883,1,135.098966710195157
85,2.32655550091279,8.0386486,6.3648739,6.2957678,6.1721678,2.5601146,3.5695624,3.6360879,4.0425291,3.8694689,5.5259275,5.0430388,3.9908161,2.3265555,1,263.911302362254844
86,3.44904176885371,6.8097005,6.5348315,6.3576283,6.1154399,1.1732310,2.9209371,3.5096159,4.1341667,5.7735329,6.0642791,5.4423742,4.1080699,3.4490418,1,269.786962324964520
87,3.54020545200094,7.1873050,5.9506426,5.7407498,6.0745316,0.9862875,4.5447679,4.9997320,4.2022152,9.6104088,5.5347853,5.0385833,4.2793798,3.5402055,1,400.865604671150948
88,3.43753854064302,4.2816720,4.7573051,5.8096890,6.0819802,6.7416301,7.8153315,5.4226780,4.6111512,8.6196022,5.5531993,4.7065711,4.5699897,3.4375386,1,435.525192354604712
89,4.92458872445026,8.2949944,8.2227707,7.9370666,7.6180978,3.5771136,2.7989929,3.2618425,3.4945121,6.7618151,8.4893293,6.2881784,5.0577416,4.9245887,1,184.499851766152119
90,4.5903292226965,8.8960171,8.1991911,7.1708021,7.1405439,2.8568480,3.1666210,3.8293643,3.6590738,6.1597285,7.1769605,7.1370444,5.5100474,4.5903292,1,202.587886255500933
91,3.64240906538671,11.5993032,7.8266330,7.4076557,7.3714051,2.8809688,2.8269970,3.0516036,3.0743170,10.2328424,5.1079097,5.7856216,4.7870798,3.6424091,1,66.533702681982447
92,2.68832227237355,6.6113682,6.6952343,6.8816652,7.0677695,2.3391068,2.6043246,3.0469201,3.0396793,6.9542699,4.6089444,3.3610694,3.2076731,2.6883223,1,28.963859605204579
93,3.08645168411817,11.2065916,8.2551432,7.5708580,7.5868287,3.7736454,3.1246402,3.2394204,3.1324067,9.0282898,5.4399724,6.5503654,5.0707555,3.0864518,1,112.028850719560324
94,1.89331606583077,6.6894302,6.2421761,6.5942163,6.5345278,3.8690422,4.0836287,4.1152396,3.8882658,6.0442605,7.4185576,5.5840549,4.1167431,1.8933160,1,193.050404853374062
95,2.56679094106818,6.0748138,6.7594543,6.7587500,6.9938078,2.9362144,2.6270657,3.0032921,3.1457381,7.3979850,4.9054270,3.7493324,3.3514173,2.5667911,1,53.316743648735141
96,4.30688722478868,6.5919247,6.3367319,7.3842382,7.4077721,3.2297165,3.3062789,3.0404353,3.0288253,9.8845215,5.9114356,3.9708500,4.1722269,4.3068871,1,64.298312545374898
97,4.13360677594884,5.0643983,6.1989431,6.1012120,5.9440284,6.5336986,4.0521665,3.7324920,4.5647268,10.3444166,6.6155643,5.4423485,4.6574373,4.1336069,1,330.253756862615091
98,3.60386598094306,5.5206895,5.8554573,5.9941306,5.9894466,2.9336064,4.5757985,4.2325478,4.3640318,8.9171247,6.7432184,5.9176846,4.4657693,3.6038659,1,285.321982995341841
99,2.09175195708838,7.8442149,8.5625038,7.9778657,7.3182774,2.9861732,3.3119779,3.3050239,3.5123150,6.8772855,7.7918129,5.4043040,4.7493849,2.0917521,1,167.798777274372810
100,4.03729573590632,6.4102316,5.8366122,5.7339902,5.7757883,0.7982118,4.6098351,4.6285095,4.7019272,7.8048716,3.6293783,3.2347698,3.3547518,4.0372958,1,426.171455975888023
101,3.20296455845559,6.7670717,6.5492983,6.3229132,6.1024976,3.2781572,3.2422986,3.6187155,4.2465291,6.3576579,3.3335183,3.4531598,3.3055668,3.2029645,1,315.077058364215873
102,3.63513988007265,4.9394655,6.2922173,6.0608940,6.2962894,7.1437593,3.6080649,4.4069929,4.1822257,2.4598906,2.8496623,3.0644901,3.3789320,3.6351399,1,180.826398382632135
103,2.90372946507961,5.6450620,6.3405337,6.3677793,6.2449808,4.7062535,3.7006233,3.6899104,4.2213082,5.5773048,3.2344604,3.4235899,3.3620923,2.9037294,1,285.129338213431481
104,3.52424367026224,10.7043190,6.4448328,6.3299127,6.0965929,0.9825712,3.0101061,3.2846861,4.0362792,6.0756083,4.6728158,3.8704445,3.6732013,3.5242436,1,307.496016345291821
105,3.36705020434498,5.5886912,5.6105199,6.0352821,5.9787269,1.7856914,3.2160277,3.5860958,3.9686174,4.4246640,6.0514135,4.8780255,4.0246472,3.3670502,1,371.555487457783613
106,4.20822722313444,4.9880381,6.0341277,6.0857973,6.0404844,4.3552241,3.2316384,3.7410133,3.8903770,8.0928440,6.2222571,5.0944514,4.2130699,4.2082272,1,363.792514010339062
107,4.32430180564986,9.1360044,6.6465030,6.4606900,6.1193829,1.6004313,2.4113569,3.2343965,4.0334649,4.7413244,5.8950038,5.1997185,4.0728040,4.3243017,1,282.662678479666624
108,3.11021689112111,5.6231413,5.8789816,5.7548285,5.9147472,2.6942725,4.3605561,4.7553253,4.7519841,5.9342318,5.8129029,4.8727880,3.9558764,3.1102169,1,400.560838608731729
109,2.89234552850908,7.0608969,5.3078842,5.7251620,5.7903061,3.8710237,6.6290746,5.5889258,5.3840103,3.6830027,5.7623415,4.7235742,3.8795173,2.8923454,1,408.295396127673712
110,4.67591581414063,5.4567823,5.3290610,5.6315689,5.4279528,7.5020399,7.5596642,6.8828769,6.9932232,2.6632757,5.3853965,4.2211504,3.9014652,4.6759157,1,419.742415606811221
111,3.39522884410136,5.6610737,6.1396236,6.2507901,6.0191922,2.6067078,2.8604732,3.2945244,3.9053805,5.5167732,5.1766601,4.1491265,3.7346532,3.3952289,1,330.367866602193828
112,2.13697659873152,5.0991898,6.0454388,6.0753026,6.1863627,3.7311487,4.2359357,4.1960149,4.1624298,5.3379521,5.8281250,5.4052200,4.0242782,2.1369765,1,237.424589033802135
113,4.59578887660959,4.0118771,5.5818639,5.3716369,5.7750144,9.1580276,6.4831839,6.8865304,5.9456820,0.0773693,2.5865588,4.3930511,4.7660117,4.5957890,1,551.972925879037462
114,4.15657893585743,6.8730335,6.4416533,5.8285885,6.0649772,4.0044465,5.1063495,5.4934778,5.1772075,0.0000000,0.0000000,2.4212961,4.0056415,4.1565790,1,377.394556341831844
115,2.46011416102356,5.3853006,6.0162001,6.2745862,6.4888077,7.0230927,4.4728045,3.8977447,4.3506536,0.0000000,0.2467501,2.3184509,3.7775323,2.4601142,1,331.175288484500129
116,3.14535646441993,7.2133098,6.6595826,6.2504086,6.4674506,3.2577105,3.4090025,3.6554339,4.3231096,0.0000000,0.8535399,2.9141655,3.8271689,3.1453564,1,352.674976563268672
117,4.28925742148929,7.4608436,6.1223722,5.5822864,5.4843106,2.1712644,5.5168834,6.7842994,6.6276760,4.6493449,4.5393662,4.0137153,3.8882415,4.2892575,1,431.699879181309427
118,3.77275901888633,5.9797444,5.9855843,5.8581519,5.7648268,4.0650940,3.3159666,4.1627574,4.8789687,6.2072830,4.5131421,3.9642859,3.5813429,3.7727590,1,387.713893666099011
119,3.33922420876983,6.4103742,6.0841384,5.9166212,5.7520308,1.7696400,3.6401742,4.3688240,4.9597273,5.8220358,3.1699810,3.4983170,3.9924204,3.3392241,1,478.231414527938171
120,3.62710803829657,7.7999816,5.9020309,5.8120513,5.6477585,1.9221315,3.6669834,4.6597114,5.2365828,6.4589725,3.7969890,2.3896058,3.3976254,3.6271081,1,446.235621520802226
121,2.48814854291609,6.0770307,5.9723849,5.9774847,5.7997346,1.2402139,2.8996286,4.3338370,4.6724834,5.6080475,3.3542571,2.6140461,3.8695519,2.4881485,1,499.832560547538549
122,2.65457436212651,5.5964370,5.7013993,5.8138638,5.9997611,4.0395885,4.5398946,4.5501571,4.1547937,5.1151190,3.4586995,3.4440560,3.7597883,2.6545744,1,592.985058660910795
123,4.83011136306939,5.7566762,5.7224464,5.6832261,5.6375432,1.5600010,5.1314340,5.1923466,5.2851734,6.2038865,3.4102559,2.6097012,2.5773110,4.8301115,1,497.320594451382931
124,4.06662520653664,5.2832351,4.9667377,5.2840352,5.3195844,11.3695898,7.8394618,7.6004581,7.2008233,0.5281628,3.5557623,2.3280637,2.0025115,4.0666251,1,397.575618554404002
125,4.70627149611121,6.7146959,6.1664376,5.8515720,5.7394233,1.7683903,3.4844811,4.5282316,4.9410682,6.3161535,3.1752939,2.8124733,2.9670863,4.7062716,1,533.155643932138787
126,3.39942236281293,6.8612490,6.6699681,6.7604079,6.5600729,2.6486392,2.5201178,3.2112219,3.1069450,0.0000000,0.0008472,0.7852392,1.1442848,3.3994224,1,33.861175285793422
127,3.5238382440166,7.1819892,5.7459216,5.5627427,5.5630331,1.7501065,4.3785787,6.1558690,6.3004122,2.7577877,2.8055391,2.4508054,3.2186670,3.5238383,1,496.393714739541508
128,3.26131816470817,7.0031581,5.3183990,5.0530128,5.2274761,6.1060057,8.0337620,8.0070934,7.3591108,0.0000000,1.8595475,2.4671948,3.8309383,3.2613182,1,477.242858293102984
129,3.80911974184985,7.2208500,5.8888373,6.0606713,6.0789618,2.8711948,3.8877981,3.7852495,3.9001794,4.8171434,3.7572575,3.3451552,4.1163821,3.8091197,1,624.258455211065211
130,3.77469246687973,7.9074082,5.5154018,5.9151964,5.8009577,2.2206392,5.4090662,4.5863547,4.8938665,6.2117639,3.1602013,2.7025602,3.7432344,3.7746925,1,581.365976304587321
131,4.99291195595987,5.1839514,5.8587656,5.9940953,5.7913442,2.7314272,4.3437572,4.1088123,4.9132905,6.2337713,3.1629207,2.6842165,3.5834939,4.9929118,1,565.955475502199306
132,5.3161471695787,4.3101511,5.2097359,5.1593304,5.4866800,9.9819174,7.3104329,7.4046111,5.8009381,4.1568403,2.9363077,3.1070592,3.9563627,5.3161473,1,569.356974202422180
133,4.26123456399131,6.4362416,5.2079678,5.2815299,5.4831314,5.3859568,6.8664408,7.0241251,6.2681580,1.6971438,2.7595038,2.1431205,3.7206857,4.2612348,1,523.023931297668923
134,1.77842372105279,5.8269897,6.5946555,6.6987362,7.2644525,2.7069609,2.8242462,3.2100139,3.1596117,0.0000000,2.2404723,2.7946551,2.3913777,1.7784237,1,135.770003880342784
135,3.55606982643643,5.2905817,5.9225097,7.3521371,7.5311928,2.5719652,2.9063222,2.7919655,3.0703235,2.2343624,5.0774608,3.9054136,3.1224661,3.5560699,1,308.907331522194795
136,3.52061431563933,6.1638155,6.6361799,5.8882589,6.1021748,2.3156946,2.7650599,5.4429216,5.0266848,5.9692965,4.7501674,4.6156874,3.9060588,3.5206144,1,716.405976434190848
137,3.9003052855777,6.4474397,6.3513527,6.3737559,6.0924311,1.9336191,2.6111102,2.9445739,4.0850272,1.7378955,4.0290160,4.7818913,4.3198857,3.9003053,1,710.925646052091793
138,3.0152732085215,8.1026955,6.8911929,6.3959231,6.0347986,2.2684927,2.8837984,3.5193017,4.4519739,5.8810406,3.5693731,4.3120031,3.9783444,3.0152731,1,669.122267604525405
139,1.68526571576651,6.0172091,6.5079422,6.4060411,6.2745285,3.3919129,3.0873797,3.5632021,3.7460496,0.0000000,2.5675342,3.8137183,4.5822291,1.6852657,1,610.629148547282171
140,3.84796434087404,5.8149748,6.0672336,5.7546868,5.6795273,3.6489363,3.4762526,4.7765527,5.7984819,1.1194701,5.4266915,5.1276464,4.7498574,3.8479643,1,796.629219231870366
